cell_type,cell_class,cognitive_load,continuous_load,Calcium,Cell Cycle,Circadian,ERK/MAPK,Hippo,JAK-STAT,NF-κB,NRF2,Notch,PI3K/PTEN,TGF-β,Wnt,mTOR,p53
epididymal basal cells,specialized epithelial cells,13,14.15,1,1,1,1,1,1,1,1,1,1,1,0,1,1
epididymal clear cells,specialized epithelial cells,6,-2.94,0,1,0,0,1,0,1,1,0,0,1,0,0,1
epididymal efferent duct absorptive cells,specialized epithelial cells,8,0.53,0,1,1,1,0,1,1,1,1,0,0,0,0,1
epididymal efferent duct ciliated cells,ciliated cells,7,0.65,1,1,1,0,0,0,1,1,1,0,0,0,0,1
epididymal principal cells,specialized epithelial cells,7,-1.68,1,1,0,1,0,0,1,0,1,0,0,0,1,1
erythrocyte progenitors,blood and immune cells,3,-7.77,0,1,0,0,0,0,0,0,0,1,0,0,1,0
erythrocytes,blood and immune cells,0,-17.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esophageal apical cells,squamous epithelial cells,10,23.22,1,1,1,1,1,1,1,1,1,0,0,0,0,1
esophageal basal cells,specialized epithelial cells,9,1.24,1,1,1,1,0,0,1,1,1,0,1,0,0,1
esophageal suprabasal cells,squamous epithelial cells,8,7.06,1,1,1,1,0,0,1,1,1,0,0,0,0,1
extravillous trophoblasts,trophoblast cells,9,6.60,1,1,1,1,1,0,1,1,0,0,0,1,0,1
fallopian secretory cells,glandular epithelial cells,9,-0.34,0,1,1,1,1,1,1,1,1,0,0,0,0,1
fallopian tube ciliated cells,ciliated cells,9,1.83,1,1,1,1,0,1,1,1,1,0,0,0,0,1
fibro-adipogenic progenitors,mesenchymal cells,6,-0.27,0,1,0,0,1,1,0,0,0,1,1,0,1,0
fibroblasts,mesenchymal cells,10,2.49,0,1,1,1,1,1,1,1,0,1,1,0,0,1
foveolar cells,glandular epithelial cells,8,-2.00,0,0,1,1,0,1,0,0,1,0,1,1,1,1
gastric chief cells,glandular epithelial cells,0,-9.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gastric progenitor cells,stem and proliferating cells,2,-7.18,1,0,0,0,0,0,0,0,1,0,0,0,0,0
goblet cells,glandular epithelial cells,7,-2.36,0,1,1,1,0,0,1,0,1,0,0,1,0,1
gonadotrophs,endocrine cells,3,-4.08,1,0,0,0,0,0,0,0,0,0,1,0,1,0
granulosa cells,specialized epithelial cells,6,-2.41,0,0,0,1,1,1,1,1,1,0,0,0,0,0
hematopoietic stem cells,stem and proliferating cells,8,-2.13,0,0,0,1,1,1,1,0,0,1,1,1,1,0
hepatic stellate cells,mesenchymal cells,3,-5.58,0,0,0,1,1,0,0,0,0,0,0,0,0,1
hepatocytes,specialized epithelial cells,2,-5.86,0,0,0,1,0,0,0,0,0,0,0,0,0,1
hofbauer cells,blood and immune cells,7,-3.87,1,1,0,1,0,0,1,1,0,0,1,0,0,1
innate lymphoid cells,blood and immune cells,12,6.29,1,1,1,1,0,1,1,1,0,1,1,1,1,1
kupffer cells,blood and immune cells,7,3.10,0,1,0,1,0,1,1,1,0,0,1,1,0,0
lacrimal acinar cells,glandular epithelial cells,5,-4.11,1,0,1,0,1,0,0,0,1,0,0,0,1,0
lactotrophs,endocrine cells,8,-2.68,0,1,1,0,0,1,0,0,1,1,1,1,1,0
late primary spermatocytes,germ cells,0,-12.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
late spermatids,germ cells,2,-3.47,0,0,0,0,0,0,0,0,0,0,1,0,1,0
leydig cells,endocrine cells,5,-1.82,0,0,0,0,1,1,0,1,0,1,0,0,1,0
loop of henle epithelial cells,specialized epithelial cells,4,-1.07,0,0,0,0,1,0,0,0,0,1,1,0,1,0
lymphatic endothelial cells,endothelial and mural cells,12,1.25,1,1,1,1,1,1,1,1,1,1,0,1,0,1
macrophages,blood and immune cells,11,5.81,1,1,0,1,0,1,1,1,1,1,1,1,0,1
mast cells,blood and immune cells,10,5.25,1,1,0,1,0,1,1,1,1,1,1,0,0,1
medullary thymic epithelial cells,specialized epithelial cells,8,-1.33,0,1,0,1,1,1,1,0,0,1,0,1,0,1
megakaryocyte progenitors,blood and immune cells,4,-6.71,0,1,0,0,0,0,1,0,0,1,1,0,0,0
megakaryocyte-erythroid progenitors,blood and immune cells,3,-5.32,0,0,0,0,0,0,1,0,0,1,1,0,0,0
megakaryocytes,blood and immune cells,2,-11.76,1,0,0,0,0,0,0,0,0,1,0,0,0,0
melanocytes,pigment cells,6,-1.90,1,1,0,0,0,0,1,1,0,1,0,1,0,0
mesothelial cells,specialized epithelial cells,5,-2.87,0,0,1,0,1,1,1,1,0,0,0,0,0,0
microglia,glial cells,6,4.25,0,1,0,0,0,1,0,0,0,1,1,1,1,0
migrating cytotrophoblasts,trophoblast cells,8,-2.47,1,1,1,1,1,0,0,1,0,0,0,1,0,1
monocyte progenitors,blood and immune cells,11,-1.06,1,1,0,1,0,1,1,0,1,1,1,1,1,1
monocytes,blood and immune cells,11,16.07,1,1,0,1,0,1,1,1,1,1,1,1,0,1
mucous neck cells,glandular epithelial cells,2,-6.69,0,0,0,0,1,0,0,0,1,0,0,0,0,0
myonuclei,muscle cells,11,12.06,1,1,1,0,1,1,0,1,1,1,1,1,1,0
myosatellite cells,stem and proliferating cells,10,-2.21,0,1,0,1,1,1,1,1,0,1,0,1,1,1
müller glia,glial cells,5,-0.78,1,0,1,1,0,0,0,0,1,0,0,0,1,0
neuroendocrine cells,endocrine cells,4,-5.45,0,1,1,1,0,0,0,0,0,0,0,0,0,1
neutrophil progenitors,blood and immune cells,12,8.23,1,1,0,1,1,1,1,1,1,1,1,1,1,0
neutrophils,blood and immune cells,13,48.10,1,1,0,1,1,1,1,1,1,1,1,1,1,1
nk-cells,blood and immune cells,11,1.76,1,0,1,1,0,1,1,1,1,1,1,1,1,0
ocular epithelial cells,specialized epithelial cells,13,16.20,1,1,1,1,1,1,1,1,1,1,1,1,0,1
oligodendrocyte progenitor cells,glial cells,4,-2.15,0,0,0,0,0,0,0,0,0,1,1,1,1,0
oligodendrocytes,glial cells,3,-3.64,0,0,0,0,0,0,0,0,0,1,0,1,1,0
oocytes,germ cells,1,-14.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
other brain neurons,neuronal cells,3,-5.30,0,0,0,0,0,0,0,0,0,1,0,1,1,0
ovarian stromal cells,mesenchymal cells,8,-2.05,0,1,0,1,1,1,1,1,1,0,0,0,0,1
pancreatic acinar cells,glandular epithelial cells,9,-0.20,1,1,1,1,0,1,1,0,0,1,1,0,0,1
pancreatic duct cells,specialized epithelial cells,10,2.82,0,1,1,1,1,1,1,1,1,0,1,0,0,1
pancreatic islet cells,endocrine cells,4,-5.71,1,0,1,0,0,1,0,0,1,0,0,0,0,0
